customer_id,first_name,last_name,email,phone_number,address,date_of_birth,registration_date
CU6441,Nancy,Jackson,jasmineclarke@example.net,(511)943-6649x9736,"409 Alison Plain Suite 400
Jonesfort, VT 10957",1961-07-05,2024-01-03 08:57:22
CU5440,Tonya,Garrett,middletonsharon@example.net,+1-393-498-3072x05265,"36968 Abigail Pike
New Heather, ND 98709",1986-07-30,2022-12-10 17:56:59
CU4499,Becky,Lee,linnicole@example.com,(676)489-1746,"342 Laura Skyway
Port Autumn, WY 02996",1992-06-08,2024-01-09 18:09:16
CU1574,Joshua,Sharp,sherimoore@example.com,001-926-521-6015x085,"68576 Colon Flat Suite 977
South Jenniferton, NJ 79646",1989-12-28,2023-12-12 16:19:32
CU3887,Courtney,Harris,lisamaldonado@example.org,+1-446-576-5368,"3287 Gary Grove Suite 452
New Michaelville, NV 79263",1946-01-06,2023-10-24 15:12:31
CU3348,Marc,Dunn,patricksalazar@example.com,(318)373-2624x720,"7683 Schroeder Canyon
Janetfurt, OK 17232",2003-04-18,2023-07-26 21:05:54
CU2683,Catherine,Valdez,rodriguezjason@example.org,(876)354-8983x0016,"5530 Daniel Mission
North Randyview, NE 28272",1944-06-20,2024-05-19 15:41:39
CU8791,Paul,Vasquez,qcline@example.net,001-456-253-8146x5220,"7105 Randall Glen
Danielsberg, MT 26975",1959-03-21,2023-05-15 21:10:11
CU3647,Alexander,Cowan,kayleefigueroa@example.net,+1-804-706-7882x89706,"5738 Lindsey Village
North Mikefurt, ME 84165",1986-03-25,2023-03-03 06:50:13
CU4586,Carla,Nelson,nancy65@example.net,001-592-441-9075x948,"7783 Rose Road
South Kevin, VT 26593",1997-03-19,2023-02-12 10:16:04
CU2850,Martin,Howard,lambertcraig@example.org,(851)547-1505,"27880 Steven Mills
Matthewsberg, AS 03469",1964-04-08,2023-09-16 18:31:31
CU2349,Kimberly,Smith,lwilliams@example.org,(591)496-2314x0892,"2625 Hayes Isle Suite 389
New Melissabury, IL 40756",1956-11-08,2023-02-17 03:21:29
CU4744,Aaron,Boyd,nmason@example.org,8306767441,"Unit 0399 Box 4319
DPO AA 14628",1963-05-29,2025-01-27 19:03:04
CU1036,Marvin,Wilcox,david26@example.org,+1-273-290-7331,"531 Lee Alley
East Kim, MD 76472",1976-11-17,2024-10-01 00:11:22
CU3514,Jorge,Moore,coxdavid@example.org,001-820-392-0070x3740,"USNV Irwin
FPO AP 32485",1954-05-21,2024-04-24 05:09:11
CU8666,John,Taylor,halexander@example.com,001-446-727-5687x395,"USNS Lewis
FPO AE 47422",1945-03-14,2022-07-28 23:58:42
CU9798,Lori,Wilson,daniel43@example.org,522-976-9198x3769,"Unit 8074 Box 3430
DPO AA 05683",1992-12-16,2025-01-07 09:51:17
CU1532,Denise,Powell,gordonleslie@example.net,572.874.8912x5860,"5420 Anthony Station Suite 011
Deborahburgh, OH 61583",1998-05-02,2022-07-25 20:35:13
CU4882,James,Ortega,khanbarbara@example.net,001-331-997-3574x300,"80622 Tucker River
North David, CA 16144",1970-02-03,2025-01-15 11:54:46
CU9972,Jared,Turner,millervictoria@example.net,3255143416,"91405 Nicholas Cove Apt. 115
Kylieside, AS 53398",1997-09-29,2023-11-23 22:24:19
CU6852,Pamela,Lewis,bennettjason@example.org,001-259-515-5065x36237,"69745 Martin Causeway Suite 263
Lesliemouth, ME 83308",1959-04-20,2022-05-20 04:19:39
CU2563,Justin,Jacobs,traceystewart@example.net,001-424-973-7404x9092,"30139 Adam Orchard Apt. 096
Colemanfort, LA 88819",2000-06-26,2022-11-05 07:11:37
CU4630,Tyler,Brewer,angelica02@example.com,(383)278-7069,"807 Montes Estate Apt. 073
Wilsonchester, CT 95306",1959-03-14,2023-12-14 05:02:20
CU9448,Angela,Jones,ronald02@example.org,788.559.1895x018,"8619 Sue Common Apt. 397
East Jennifermouth, IN 89249",2003-11-15,2023-04-24 20:19:21
CU8290,Michael,Parks,kjohnson@example.org,9037659321,"728 Erica Plaza
Lake William, AL 10467",1949-10-04,2024-01-13 19:58:50
