dealer_id,brand_id,name,contact_person,address,phone_number,email,dealer_type,rating,website
DE4275,BA6640,"Scott, Brown and Garcia",Lori Lopez,"26464 Palmer Station Suite 565
East Brittneyside, NM 56422",001-569-401-7162x8253,holly79@example.net,authorized,3.5,https://hopkins.com/
DE4780,BA6223,"Nunez, Valentine and Young",Samantha Gordon,"5039 Eric Estates Suite 727
Traceymouth, MD 32234",(901)296-1479,lambertmike@example.net,authorized,3.9,https://www.taylor.com/
DE3449,BA8885,"Reynolds, Franklin and Martinez",Nancy Beasley,"58212 Malone Harbors Apt. 044
Lake Alex, CO 70474",001-488-969-1442x00767,duane76@example.org,authorized,2.0,http://mclaughlin-estrada.net/
DE8509,BA7292,"Duke, Ortiz and Haynes",Julia Kramer,"4780 Michael Harbor Apt. 985
Port Emilyfort, WY 90521",864.562.0074,martinezalexander@example.net,independent,4.4,https://www.wallace.org/
DE4770,BA6302,"Irwin, Aguilar and Lopez",Catherine Pierce,"PSC 5878, Box 0397
APO AE 31811",799-343-8609,kimdennis@example.net,authorized,3.8,http://www.brown-strong.org/
DE1705,BA4534,"Santiago, Bennett and Shaw",Thomas Powell MD,"4419 Mccarthy Ways Apt. 682
South Kevin, IA 66818",357.494.1065x71598,john69@example.com,authorized,1.8,http://house.com/
DE4448,BA4452,Galvan-Miller,Rebecca Mason,"468 Oscar Run
Williamsonburgh, MI 21195",922.487.2096,rogersdesiree@example.com,authorized,2.1,https://lewis.com/
DE3392,BA9760,Palmer-Bridges,Roy Webster,"8140 Jessica Avenue Apt. 827
Richardport, IL 77001",(320)937-9966x55658,kellyjordan@example.org,independent,4.9,http://www.gallagher.com/
DE5709,BA8305,Walsh-Harrison,Kevin Morgan,"00019 Castaneda Expressway Apt. 726
Tarabury, TN 52989",7625834355,zballard@example.org,authorized,2.7,https://graham.com/
DE8543,BA6262,Phelps-Le,Haley Miller,"8091 Luke Hill
Laneport, WA 54074",288-203-1925,lisa10@example.net,authorized,5.0,http://howell.biz/
DE3718,BA1959,Miller-Nelson,Matthew Mcdonald,"15079 Ramirez Passage
Brandonhaven, TN 96489",(896)990-9390x9111,lambdeborah@example.net,independent,4.7,http://vasquez-salinas.org/
DE5142,BA3664,Schwartz Ltd,Judy Hensley,"5930 Thomas Groves Suite 401
West Joshua, AZ 38767",(210)499-6333x7125,meghanriggs@example.net,independent,1.4,http://brock.com/
DE2559,BA4591,Castro Ltd,Jason Cantu,"650 Black Place Suite 325
Lake Danielleport, PW 45506",+1-820-487-5113x1198,mcguirebrian@example.net,authorized,1.2,http://www.russell-fisher.com/
DE6980,BA2766,Malone PLC,Natasha Paul,"3152 Matthew Vista
Rubenfort, PR 81642",001-510-744-7469x978,kathryn35@example.com,independent,2.5,http://www.combs.com/
DE9466,BA3478,Huffman Ltd,Frances Ross,"928 Raymond Trail Suite 578
East Emily, TN 61585",298.912.7527,lerobin@example.net,independent,4.3,https://lyons.org/
DE1580,BA9589,"Henry, Stevens and Flores",Jaime Trujillo,"909 Summer Forks
Kennethland, AR 78059",547-282-0980x9290,james60@example.net,authorized,2.7,https://www.vazquez-perez.info/
DE8847,BA1548,Ritter-Odonnell,Amanda Wallace,"2692 Banks Coves
North Sarahfurt, RI 17038",710.545.9206,wjackson@example.com,independent,1.9,https://mills.org/
DE5757,BA2482,Guzman Inc,Daniel Kim,"54809 Madeline Viaduct
Port Robert, NE 19811",9589906367,ramirezedward@example.com,authorized,2.3,https://callahan-lopez.com/
